OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
101,1001,2,2001,15-02-2021,10-03-2021,5001,2,100.5
101,1001,2,2001,15-02-2021,10-03-2021,5002,3,300
101,1001,2,2001,15-02-2021,10-03-2021,5003,1,200
101,1001,2,2001,15-02-2021,10-03-2021,5007,3,180
101,1001,2,2001,15-02-2021,10-03-2021,5008,1,201
101,1001,2,2001,15-02-2021,10-03-2021,5009,2,300
102,1002,1,2002,01-03-2021,15-03-2021,5101,3,100.5
102,1002,1,2002,01-03-2021,15-03-2021,5102,1,300
102,1002,1,2002,01-03-2021,15-03-2021,5107,6,180
102,1002,1,2002,01-03-2021,15-03-2021,5108,8,201
102,1002,1,2002,01-03-2021,15-03-2021,5109,3,300
103,1003,3,2002,15-02-2021,01-03-2021,5201,3,100.5
103,1003,3,2002,15-02-2021,01-03-2021,5202,3,300
103,1003,3,2002,15-02-2021,01-03-2021,5203,1,200
103,1003,3,2002,15-02-2021,01-03-2021,5204,4,210
103,1003,3,2002,15-02-2021,01-03-2021,5205,1,304
103,1003,3,2002,15-02-2021,01-03-2021,5206,6,140
103,1003,3,2002,15-02-2021,01-03-2021,5207,2,180
104,1004,2,2003,16-02-2021,11-03-2021,5101,3,100.5
104,1004,2,2003,16-02-2021,11-03-2021,5102,1,300
104,1004,2,2003,16-02-2021,11-03-2021,5103,5,200
104,1004,2,2003,16-02-2021,11-03-2021,5104,2,210
105,1005,2,2002,02-03-2021,16-03-2021,5104,2,210
105,1005,2,2002,02-03-2021,16-03-2021,5105,7,304
105,1005,2,2002,02-03-2021,16-03-2021,5106,2,140
105,1005,2,2002,02-03-2021,16-03-2021,5107,6,180
105,1005,2,2002,02-03-2021,16-03-2021,5108,8,201
105,1005,2,2002,02-03-2021,16-03-2021,5109,3,300
105,1005,2,2002,02-03-2021,16-03-2021,5201,3,100.5
105,1005,2,2002,02-03-2021,16-03-2021,5205,1,304
105,1005,2,2002,02-03-2021,16-03-2021,5206,6,140
105,1005,2,2002,02-03-2021,16-03-2021,5207,2,180
105,1005,2,2002,02-03-2021,16-03-2021,5301,2,180
106,1006,2,2001,15-02-2021,10-03-2021,5001,2,100.5
106,1006,2,2001,15-02-2021,10-03-2021,5002,3,300
107,1007,2,2001,15-02-2021,10-03-2021,5006,6,140
107,1007,2,2001,15-02-2021,10-03-2021,5007,3,180
108,1008,2,2001,15-02-2021,10-03-2021,5008,1,201
109,1009,1,2002,15-02-2021,10-03-2021,5009,2,300
109,1009,1,2002,01-03-2021,15-03-2021,5101,3,100.5
109,1009,1,2002,01-03-2021,15-03-2021,5102,1,300
110,1010,2,2002,01-03-2021,15-03-2021,5103,5,200
110,1010,2,2002,01-03-2021,15-03-2021,5104,2,210
110,1010,2,2002,01-03-2021,15-03-2021,5105,7,304
110,1010,2,2002,01-03-2021,15-03-2021,5106,2,140
111,1011,3,2002,15-02-2021,01-03-2021,5203,1,200
111,1011,3,2002,15-02-2021,01-03-2021,5204,4,210
111,1011,3,2002,15-02-2021,01-03-2021,5205,1,304
111,1011,3,2002,15-02-2021,01-03-2021,5206,6,140
111,1011,3,2002,15-02-2021,01-03-2021,5207,2,180
112,1012,2,2004,16-02-2021,11-03-2021,5008,1,201
112,1012,2,2004,16-02-2021,11-03-2021,5009,2,300
112,1012,2,2004,16-02-2021,11-03-2021,5101,3,100.5
112,1012,2,2004,16-02-2021,11-03-2021,5102,1,300
112,1012,2,2004,16-02-2021,11-03-2021,5103,5,200
112,1012,2,2004,16-02-2021,11-03-2021,5104,2,210
113,1013,2,2004,02-03-2021,16-03-2021,5104,2,210
113,1013,2,2004,02-03-2021,16-03-2021,5105,7,304
113,1013,2,2004,02-03-2021,16-03-2021,5106,2,140
113,1013,2,2004,02-03-2021,16-03-2021,5202,3,300
113,1013,2,2004,02-03-2021,16-03-2021,5203,1,200
113,1013,2,2004,02-03-2021,16-03-2021,5204,4,210
113,1013,2,2004,02-03-2021,16-03-2021,5205,1,304
113,1013,2,2004,02-03-2021,16-03-2021,5206,6,140
113,1013,2,2004,02-03-2021,16-03-2021,5207,2,180
113,1013,2,2004,02-03-2021,16-03-2021,5301,2,180
101,1001,2,2001,15-02-2021,10-03-2021,5004,4,210
101,1001,2,2001,15-02-2021,10-03-2021,5005,1,304
101,1001,2,2001,15-02-2021,10-03-2021,5006,6,140
113,1013,2,2004,02-03-2021,16-03-2021,5107,6,180
113,1013,2,2004,02-03-2021,16-03-2021,5108,8,201
113,1013,2,2004,02-03-2021,16-03-2021,5109,3,300
113,1013,2,2004,02-03-2021,16-03-2021,5201,3,100.5
110,1010,2,2002,01-03-2021,15-03-2021,5107,6,180
110,1010,2,2002,01-03-2021,15-03-2021,5108,8,201
110,1010,2,2002,01-03-2021,15-03-2021,5109,3,300
110,1010,2,2002,15-02-2021,01-03-2021,5201,3,100.5
110,1010,2,2002,15-02-2021,01-03-2021,5202,3,300
102,1002,1,2002,01-03-2021,15-03-2021,5103,5,200
102,1002,1,2002,01-03-2021,15-03-2021,5104,2,210
102,1002,1,2002,01-03-2021,15-03-2021,5105,7,304
102,1002,1,2002,01-03-2021,15-03-2021,5106,2,140
105,1005,2,2002,02-03-2021,16-03-2021,5202,3,300
105,1005,2,2002,02-03-2021,16-03-2021,5203,1,200
105,1005,2,2002,02-03-2021,16-03-2021,5204,4,210
103,1003,3,2002,15-02-2021,01-03-2021,5208,5,201
103,1003,3,2002,15-02-2021,01-03-2021,5209,3,300
104,1004,2,2003,16-02-2021,11-03-2021,5006,6,140
104,1004,2,2003,16-02-2021,11-03-2021,5007,3,180
104,1004,2,2003,16-02-2021,11-03-2021,5008,1,201
104,1004,2,2003,16-02-2021,11-03-2021,5009,2,300
111,1011,3,2002,15-02-2021,01-03-2021,5208,5,201
111,1011,3,2002,15-02-2021,01-03-2021,5209,3,300
112,1012,2,2004,16-02-2021,11-03-2021,5006,6,140
112,1012,2,2004,16-02-2021,11-03-2021,5007,3,180
106,1006,2,2001,15-02-2021,10-03-2021,5003,1,200
